일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),강수량(mm),적설(cm),전운량(10분위)
2021-08-04 11:00:00,31.0,1.9,230,59,996.7,1.0,,,,2.0
2021-08-04 12:00:00,31.6,2.3,250,57,996.1,0.9,,,,
2021-08-04 13:00:00,32.4,1.5,250,54,995.7,1.0,,,,4.0
2021-08-04 14:00:00,32.6,2.9,270,55,995.5,1.0,,,,6.0
2021-08-04 15:00:00,32.2,2.3,250,57,995.1,0.7,,,,6.0
2021-08-04 16:00:00,33.0,2.2,230,55,994.5,1.0,,,,1.0
2021-08-04 17:00:00,32.7,1.7,250,52,994.0,1.0,,,,1.0
2021-08-04 18:00:00,31.6,1.9,200,58,994.0,1.0,,,,3.0
2021-08-04 19:00:00,28.9,1.5,90,72,994.3,0.3,,,,3.0
2021-08-04 20:00:00,26.9,0.9,90,82,994.7,0.0,,,,3.0
2021-08-04 21:00:00,26.7,0.7,90,83,995.3,,,,,7.0
2021-08-04 22:00:00,26.5,1.3,90,82,995.2,,,,,7.0
2021-08-04 23:00:00,25.6,1.0,90,88,995.5,,,,,2.0
2021-08-05 00:00:00,25.1,0.5,110,90,995.6,,,,,2.0
2021-08-05 01:00:00,25.4,1.5,200,91,995.6,,,,,4.0
2021-08-05 02:00:00,25.0,0.5,110,91,995.3,,,,,9.0
2021-08-05 03:00:00,25.0,0.5,90,88,995.2,,,,,9.0
2021-08-05 04:00:00,25.0,0.3,0,90,995.1,,,,,9.0
2021-08-05 05:00:00,25.0,0.2,0,91,995.2,,,,,9.0
2021-08-05 06:00:00,24.5,0.2,0,93,995.1,0.0,,,,9.0
2021-08-05 07:00:00,25.3,0.4,0,90,995.2,0.0,,,,6.0
2021-08-05 08:00:00,27.1,0.7,140,82,995.0,0.8,,,,4.0
2021-08-05 09:00:00,28.7,1.1,340,75,994.9,1.0,,,,3.0
2021-08-05 10:00:00,30.2,1.5,340,66,994.7,1.0,,,,3.0
2021-08-05 11:00:00,31.1,1.1,160,63,994.2,1.0,,,,5.0
2021-08-05 12:00:00,30.6,1.7,360,65,993.5,0.8,,,,6.0
2021-08-05 13:00:00,32.1,1.1,320,56,993.0,0.8,,,,5.0
2021-08-05 14:00:00,33.3,2.2,250,54,992.4,0.9,,,,4.0
2021-08-05 15:00:00,32.9,1.8,250,54,992.0,1.0,,,,3.0
2021-08-05 16:00:00,33.8,2.8,270,53,991.6,1.0,,,,4.0
2021-08-05 17:00:00,33.7,1.3,340,54,991.3,0.9,,,,5.0
2021-08-05 18:00:00,33.0,1.4,340,56,990.9,1.0,,,,3.0
2021-08-05 19:00:00,30.3,1.2,110,71,991.1,0.5,,,,3.0
2021-08-05 20:00:00,28.7,0.5,110,77,991.3,0.0,,,,5.0
2021-08-05 21:00:00,27.8,0.4,0,81,992.2,,,,,6.0
2021-08-05 22:00:00,27.5,0.3,0,82,992.3,,,,,3.0
2021-08-05 23:00:00,27.0,1.0,90,84,992.4,,,,,7.0
2021-08-06 00:00:00,26.6,0.6,110,86,992.1,,,,,3.0
2021-08-06 01:00:00,26.0,0.8,110,87,991.9,,,,,6.0
2021-08-06 02:00:00,25.8,0.4,0,89,991.9,,,,,6.0
2021-08-06 03:00:00,25.6,1.0,90,89,991.7,,,,,6.0
2021-08-06 04:00:00,24.8,0.8,90,91,991.9,,,,,7.0
2021-08-06 05:00:00,24.5,0.5,90,94,992.1,,,,,5.0
2021-08-06 06:00:00,24.5,0.0,0,94,991.9,0.0,,,,3.0
2021-08-06 07:00:00,26.0,0.7,20,90,992.2,0.2,,,,4.0
2021-08-06 08:00:00,27.3,0.6,200,84,992.1,0.9,,,,0.0
2021-08-06 09:00:00,29.5,2.1,70,74,991.5,1.0,,,,0.0
2021-08-06 10:00:00,30.5,1.4,340,73,991.2,1.0,,,,3.0
2021-08-06 11:00:00,31.9,1.3,90,65,990.6,1.0,,,,6.0
2021-08-06 12:00:00,32.3,1.0,90,63,989.6,0.6,,,,7.0
2021-08-06 13:00:00,32.2,0.6,90,64,989.1,0.3,,,,7.0
2021-08-06 14:00:00,32.2,1.7,360,65,988.8,0.2,,,,7.0
2021-08-06 15:00:00,33.7,1.7,360,63,988.3,0.6,,,,7.0
2021-08-06 16:00:00,32.2,2.1,340,53,988.2,1.0,,,,7.0
2021-08-06 17:00:00,26.3,2.0,290,64,990.0,0.0,,0.0,,10.0
2021-08-06 18:00:00,23.0,1.8,110,91,991.0,0.0,,21.4,,10.0
2021-08-06 19:00:00,23.8,0.6,20,93,990.6,0.2,,0.0,,8.0
2021-08-06 20:00:00,23.3,1.1,90,92,990.9,0.0,,,,9.0
2021-08-06 21:00:00,23.2,0.2,0,90,990.4,,,,,9.0
2021-08-06 22:00:00,22.8,0.6,110,93,990.5,,,,,7.0
2021-08-06 23:00:00,23.2,0.1,0,94,990.6,,,,,8.0
2021-08-07 00:00:00,23.2,0.5,140,95,991.0,,,,,8.0
2021-08-07 01:00:00,22.6,1.5,360,94,991.2,,,,,10.0
2021-08-07 02:00:00,22.6,0.8,90,94,990.7,,,,,10.0
2021-08-07 03:00:00,22.0,0.7,70,96,990.7,,,,,6.0
2021-08-07 04:00:00,22.2,0.5,110,96,990.3,,,,,9.0
2021-08-07 05:00:00,22.3,0.6,50,96,990.6,,,,,9.0
2021-08-07 06:00:00,22.6,0.2,0,96,990.7,0.0,,0.1,,9.0
2021-08-07 07:00:00,22.9,0.3,0,97,990.8,0.0,,0.1,,8.0
2021-08-07 08:00:00,23.3,0.7,360,94,991.1,0.0,,,,1.0
2021-08-07 09:00:00,25.0,0.8,90,85,991.3,0.2,,,,2.0
2021-08-07 10:00:00,26.7,0.9,250,78,991.4,1.0,,,,0.0
2021-08-07 11:00:00,29.0,1.2,290,71,991.2,1.0,,,,1.0
2021-08-07 12:00:00,29.4,1.2,320,67,990.6,0.9,,,,1.0
2021-08-07 13:00:00,30.7,1.4,320,62,990.2,1.0,,,,4.0
2021-08-07 14:00:00,30.8,1.4,340,65,989.7,0.7,,,,8.0
2021-08-07 15:00:00,31.4,2.0,320,61,989.4,0.9,,,,7.0
2021-08-07 16:00:00,30.5,1.9,20,65,989.0,0.4,,,,9.0
2021-08-07 17:00:00,29.8,1.6,20,66,989.0,0.5,,,,8.0
2021-08-07 18:00:00,29.8,1.6,90,69,988.8,0.2,,,,9.0
2021-08-07 19:00:00,27.5,0.9,110,74,989.4,0.2,,,,7.0
2021-08-07 20:00:00,25.8,0.8,90,81,990.0,0.0,,,,7.0
2021-08-07 21:00:00,25.2,0.6,90,83,990.6,,,,,8.0
2021-08-07 22:00:00,24.7,0.6,90,88,990.9,,,,,8.0
2021-08-07 23:00:00,24.3,0.4,0,89,991.0,,,,,5.0
2021-08-08 00:00:00,23.6,0.4,0,92,991.0,,,,,5.0
2021-08-08 01:00:00,23.8,0.7,70,93,990.8,,,,,4.0
2021-08-08 02:00:00,23.7,0.9,160,94,990.1,,,,,6.0
2021-08-08 03:00:00,23.6,0.6,160,95,990.3,,,,,7.0
2021-08-08 04:00:00,23.7,0.7,290,94,990.6,,,,,9.0
2021-08-08 05:00:00,24.0,0.0,0,93,990.6,,,,,8.0
2021-08-08 06:00:00,23.6,0.1,0,95,991.0,0.0,,,,9.0
2021-08-08 07:00:00,24.5,0.9,160,93,991.0,0.0,,,,10.0
2021-08-08 08:00:00,25.7,0.5,230,86,990.9,0.1,,,,9.0
2021-08-08 09:00:00,27.2,1.3,20,80,990.6,0.8,,,,8.0
2021-08-08 10:00:00,27.8,2.2,90,75,991.0,0.2,,,,9.0
2021-08-08 11:00:00,28.3,1.3,110,74,990.7,0.0,,,,10.0
2021-08-08 12:00:00,29.0,1.8,90,71,990.7,0.0,,,,10.0
2021-08-08 13:00:00,28.8,2.0,110,71,990.4,0.0,,,,10.0
2021-08-08 14:00:00,28.7,2.0,110,72,989.9,0.0,,,,10.0
2021-08-08 15:00:00,27.5,1.8,160,75,989.9,0.0,,,,10.0
2021-08-08 16:00:00,26.7,1.8,90,78,989.6,0.0,,0.0,,10.0
2021-08-08 17:00:00,26.4,1.7,110,77,990.4,0.0,,,,10.0
2021-08-08 18:00:00,26.2,1.2,110,76,989.7,0.0,,,,10.0
2021-08-08 19:00:00,25.6,1.2,50,80,990.3,0.0,,,,10.0
2021-08-08 20:00:00,25.1,0.7,180,84,990.4,0.0,,,,10.0
2021-08-08 21:00:00,24.2,0.2,0,87,990.0,,,,,10.0
2021-08-08 22:00:00,24.0,1.0,90,85,989.8,,,,,10.0
2021-08-08 23:00:00,23.5,0.7,140,86,989.5,,,,,10.0
2021-08-09 00:00:00,24.8,1.0,320,73,989.8,,,,,9.0
2021-08-09 01:00:00,23.5,0.9,90,81,989.2,,,,,10.0
2021-08-09 02:00:00,24.0,1.7,180,80,988.9,,,,,10.0
2021-08-09 03:00:00,23.1,0.8,270,89,989.5,,,0.0,,9.0
2021-08-09 04:00:00,22.8,0.5,140,89,989.0,,,,,9.0
2021-08-09 05:00:00,22.3,0.6,70,91,989.3,,,,,9.0
2021-08-09 06:00:00,21.6,0.4,0,89,989.5,0.0,,,,7.0
2021-08-09 07:00:00,21.5,0.6,110,92,989.7,0.0,,,,3.0
2021-08-09 08:00:00,24.0,0.5,140,77,989.8,0.5,,,,6.0
2021-08-09 09:00:00,25.7,1.4,200,73,989.8,1.0,,,,3.0
2021-08-09 10:00:00,27.4,0.8,270,65,989.8,1.0,,,,6.0
2021-08-09 11:00:00,27.7,2.0,360,64,990.0,0.8,,,,7.0
2021-08-09 12:00:00,29.0,1.4,340,61,989.9,0.6,,,,
2021-08-09 13:00:00,29.2,1.7,340,61,989.6,0.6,,,,6.0
2021-08-09 14:00:00,30.9,1.6,320,58,989.2,0.8,,,,6.0
2021-08-09 15:00:00,29.3,1.5,20,60,989.2,0.5,,0.0,,7.0
2021-08-09 16:00:00,29.2,3.2,90,57,989.4,0.4,,,,7.0
2021-08-09 17:00:00,28.7,3.2,70,58,989.7,0.3,,,,5.0
2021-08-09 18:00:00,28.7,1.5,70,61,990.5,0.3,,,,3.0
2021-08-09 19:00:00,27.0,2.5,90,68,990.6,0.5,,,,7.0
2021-08-09 20:00:00,26.2,1.7,90,67,991.2,0.0,,,,5.0
2021-08-09 21:00:00,26.0,2.9,110,64,992.1,,,,,6.0
2021-08-09 22:00:00,25.3,3.6,90,66,992.5,,,,,6.0
2021-08-09 23:00:00,25.2,2.7,110,67,993.3,,,,,8.0
2021-08-10 00:00:00,24.8,4.1,90,66,993.1,,,,,
2021-08-10 01:00:00,24.5,2.4,90,65,993.5,,,,,9.0
2021-08-10 02:00:00,23.6,2.3,70,68,993.6,,,,,10.0
2021-08-10 03:00:00,23.6,2.0,70,69,993.9,,,,,6.0
2021-08-10 04:00:00,23.2,1.8,90,72,993.9,,,,,7.0
2021-08-10 05:00:00,23.5,2.0,110,69,993.9,,,,,8.0
2021-08-10 06:00:00,22.4,3.1,70,77,994.2,0.0,,,,1.0
2021-08-10 07:00:00,23.3,0.8,20,73,994.5,0.7,,,,0.0
2021-08-10 08:00:00,25.1,1.8,90,69,994.9,1.0,,,,5.0
2021-08-10 09:00:00,26.4,0.8,70,66,995.0,0.7,,,,6.0
2021-08-10 10:00:00,26.5,0.9,230,66,995.0,0.6,,,,8.0
2021-08-10 11:00:00,24.2,1.7,270,76,995.6,0.0,,0.6,,9.0
2021-08-10 12:00:00,24.7,1.4,90,82,995.7,0.1,,0.6,,8.0
2021-08-10 13:00:00,23.8,3.2,90,86,995.6,0.0,,1.5,,10.0
2021-08-10 14:00:00,25.3,3.9,70,80,995.3,0.3,,1.2,,9.0
2021-08-10 15:00:00,28.1,1.7,90,66,995.0,1.0,,0.0,,8.0
2021-08-10 16:00:00,28.6,2.0,180,64,994.8,1.0,,,,8.0
2021-08-10 17:00:00,28.7,1.3,90,68,994.8,1.0,,,,7.0
2021-08-10 18:00:00,27.3,1.3,200,72,995.1,0.6,,,,7.0
2021-08-10 19:00:00,26.8,1.4,140,75,995.6,0.7,,,,8.0
2021-08-10 20:00:00,25.0,0.4,0,80,996.0,0.0,,,,1.0
2021-08-10 21:00:00,23.6,1.2,110,88,996.6,,,,,1.0
2021-08-10 22:00:00,23.1,1.4,90,88,996.8,,,,,2.0
2021-08-10 23:00:00,22.3,0.8,90,91,997.0,,,,,7.0
2021-08-11 00:00:00,21.8,0.6,90,91,997.2,,,,,
2021-08-11 01:00:00,21.3,0.3,0,93,997.1,,,,,5.0
2021-08-11 02:00:00,21.7,0.3,0,95,996.9,,,,,3.0
2021-08-11 03:00:00,22.5,0.8,360,93,997.6,,,,,8.0
2021-08-11 04:00:00,22.8,0.2,0,93,997.9,,,0.0,,9.0
2021-08-11 05:00:00,22.7,0.7,160,94,997.9,,,0.0,,9.0
2021-08-11 06:00:00,22.2,0.0,0,94,997.8,0.0,,0.0,,6.0
2021-08-11 07:00:00,23.2,0.6,290,93,998.3,0.0,,,,8.0
2021-08-11 08:00:00,24.7,1.2,340,86,998.4,0.5,,,,8.0
2021-08-11 09:00:00,25.7,0.8,180,80,998.6,1.0,,,,8.0
2021-08-11 10:00:00,27.5,2.0,90,73,998.6,0.8,,,,3.0
2021-08-11 11:00:00,29.0,2.4,70,62,997.9,1.0,,,,0.0
2021-08-11 12:00:00,29.7,1.5,50,58,997.6,1.0,,,,3.0
2021-08-11 13:00:00,30.5,2.2,270,56,997.0,1.0,,,,3.0
2021-08-11 14:00:00,30.9,0.9,70,53,996.3,0.6,,,,3.0
2021-08-11 15:00:00,30.8,1.3,90,54,995.6,0.8,,,,1.0
2021-08-11 16:00:00,29.8,1.5,70,63,995.5,0.3,,,,3.0
2021-08-11 17:00:00,31.3,1.0,70,57,995.5,0.8,,,,7.0
2021-08-11 18:00:00,27.5,2.9,90,71,995.8,0.5,,,,5.0
2021-08-11 19:00:00,25.3,2.8,90,80,995.8,0.0,,0.0,,3.0
2021-08-11 20:00:00,24.9,1.3,90,77,996.4,0.0,,,,3.0
2021-08-11 21:00:00,23.7,2.1,70,85,997.4,,,,,3.0
2021-08-11 22:00:00,23.7,1.5,90,87,997.6,,,,,0.0
2021-08-11 23:00:00,23.3,1.2,90,84,997.5,,,,,3.0
2021-08-12 00:00:00,23.3,1.3,90,85,997.9,,,,,
2021-08-12 01:00:00,23.0,0.9,90,86,997.6,,,,,6.0
2021-08-12 02:00:00,22.7,1.5,50,88,997.8,,,,,5.0
2021-08-12 03:00:00,22.4,1.2,90,90,997.8,,,,,9.0
2021-08-12 04:00:00,22.2,0.9,50,89,997.7,,,,,9.0
2021-08-12 05:00:00,21.8,1.0,70,91,997.5,,,,,7.0
2021-08-12 06:00:00,21.5,0.4,0,93,998.0,0.0,,,,8.0
2021-08-12 07:00:00,22.8,0.5,90,87,998.2,0.1,,,,8.0
2021-08-12 08:00:00,24.2,0.4,0,82,998.4,0.5,,,,6.0
2021-08-12 09:00:00,25.6,1.9,70,77,998.5,0.8,,,,8.0
2021-08-12 10:00:00,27.3,2.1,70,68,998.4,1.0,,,,7.0
2021-08-12 11:00:00,28.2,2.9,70,63,997.8,1.0,,,,8.0
2021-08-12 12:00:00,29.3,1.9,110,60,997.2,0.8,,,,6.0
2021-08-12 13:00:00,29.5,1.4,140,61,996.7,0.7,,,,8.0
2021-08-12 14:00:00,29.8,1.2,180,64,996.2,0.3,,,,9.0
2021-08-12 15:00:00,29.5,0.5,200,60,995.7,0.6,,,,9.0
2021-08-12 16:00:00,28.4,1.3,110,69,994.9,0.0,,,,10.0
2021-08-12 17:00:00,29.5,1.2,360,64,995.3,0.3,,,,9.0
2021-08-12 18:00:00,28.3,0.8,50,70,995.3,0.3,,,,9.0
2021-08-12 19:00:00,26.7,1.5,70,77,994.7,0.0,,,,8.0
2021-08-12 20:00:00,26.2,2.0,90,77,995.7,0.0,,,,8.0
2021-08-12 21:00:00,26.1,2.7,90,73,995.6,,,,,8.0
2021-08-12 22:00:00,25.3,2.7,90,72,995.7,,,,,9.0
2021-08-12 23:00:00,24.9,2.7,90,75,995.3,,,,,8.0
2021-08-13 00:00:00,24.1,2.1,140,80,995.3,,,,,
2021-08-13 01:00:00,24.3,1.9,110,77,995.1,,,,,6.0
2021-08-13 02:00:00,23.4,1.6,70,80,995.3,,,,,9.0
2021-08-13 03:00:00,23.0,0.7,90,84,994.8,,,,,8.0
2021-08-13 04:00:00,22.5,1.6,70,86,994.8,,,,,8.0
2021-08-13 05:00:00,22.3,0.6,70,87,994.6,,,,,8.0
2021-08-13 06:00:00,22.0,1.6,50,89,994.5,0.0,,,,7.0
2021-08-13 07:00:00,22.7,0.5,50,86,994.3,0.0,,,,10.0
2021-08-13 08:00:00,23.2,1.0,50,86,994.4,0.0,,,,10.0
2021-08-13 09:00:00,24.7,0.5,50,76,994.2,0.2,,,,9.0
2021-08-13 10:00:00,25.6,0.5,360,76,994.4,0.5,,,,9.0
2021-08-13 11:00:00,26.5,2.2,110,70,994.2,0.0,,,,9.0
2021-08-13 12:00:00,26.3,1.4,110,72,993.5,0.0,,,,10.0
2021-08-13 13:00:00,26.6,1.3,110,72,993.3,0.0,,,,10.0
2021-08-13 14:00:00,27.4,1.3,110,70,993.1,0.1,,,,10.0
2021-08-13 15:00:00,27.7,1.9,110,65,992.5,0.4,,,,9.0
2021-08-13 16:00:00,27.8,1.1,160,65,992.3,0.3,,,,8.0
2021-08-13 17:00:00,28.3,1.5,140,68,992.0,0.6,,,,9.0
2021-08-13 18:00:00,27.5,1.3,110,70,992.0,0.0,,,,9.0
2021-08-13 19:00:00,25.9,0.9,90,79,992.7,0.0,,,,10.0
2021-08-13 20:00:00,25.2,1.4,90,83,992.9,0.0,,,,10.0
2021-08-13 21:00:00,24.9,0.9,110,79,993.6,,,,,10.0
2021-08-13 22:00:00,23.9,0.3,0,86,993.9,,,,,10.0
2021-08-13 23:00:00,23.6,0.5,20,83,994.2,,,,,10.0
2021-08-14 00:00:00,23.6,1.2,70,80,993.4,,,,,
2021-08-14 01:00:00,23.7,1.6,70,76,993.0,,,,,10.0
2021-08-14 02:00:00,24.0,1.8,90,74,993.0,,,,,10.0
2021-08-14 03:00:00,23.9,1.1,200,74,993.2,,,,,9.0
2021-08-14 04:00:00,23.2,1.0,110,80,993.2,,,,,10.0
2021-08-14 05:00:00,22.2,0.4,0,84,993.2,,,,,10.0
2021-08-14 06:00:00,21.7,0.9,70,88,993.4,0.0,,,,10.0
2021-08-14 07:00:00,22.2,0.4,0,87,993.9,0.0,,,,10.0
2021-08-14 08:00:00,23.6,0.6,50,80,994.1,0.0,,,,10.0
2021-08-14 09:00:00,23.9,0.8,290,80,994.8,0.0,,,,10.0
2021-08-14 10:00:00,24.6,0.5,20,75,995.2,0.0,,,,10.0
2021-08-14 11:00:00,25.2,2.0,90,72,994.9,0.0,,,,10.0
2021-08-14 12:00:00,25.2,1.4,110,75,994.6,0.0,,,,10.0
2021-08-14 13:00:00,26.2,2.1,90,67,994.1,0.0,,,,10.0
2021-08-14 14:00:00,27.2,2.3,90,64,993.9,0.5,,,,10.0
2021-08-14 15:00:00,27.7,1.7,110,60,993.8,0.7,,,,8.0
2021-08-14 16:00:00,28.5,3.3,70,56,993.9,1.0,,0.0,,7.0
2021-08-14 17:00:00,27.6,3.9,70,58,994.3,0.9,,,,6.0
2021-08-14 18:00:00,26.5,3.3,70,61,994.9,0.8,,,,
2021-08-14 19:00:00,25.7,3.1,70,61,995.6,0.2,,,,
2021-08-14 20:00:00,24.7,2.9,70,63,996.1,0.0,,,,7.0
2021-08-14 21:00:00,23.7,1.1,70,65,997.0,,,,,3.0
2021-08-14 22:00:00,22.7,1.1,230,72,997.6,,,,,4.0
2021-08-14 23:00:00,21.9,0.2,0,77,998.0,,,,,8.0
2021-08-15 00:00:00,21.6,0.3,0,76,998.3,,,,,
2021-08-15 01:00:00,20.9,0.9,140,81,998.5,,,,,5.0
2021-08-15 02:00:00,19.8,0.7,160,85,998.6,,,,,4.0
2021-08-15 03:00:00,18.8,0.6,110,91,998.9,,,,,5.0
2021-08-15 04:00:00,18.3,0.3,0,93,999.3,,,,,4.0
2021-08-15 05:00:00,18.0,0.7,90,95,1000.0,,,,,4.0
2021-08-15 06:00:00,18.0,0.8,90,95,1000.6,0.0,,,,4.0
2021-08-15 07:00:00,19.3,0.4,0,92,1000.9,0.6,,,,0.0
2021-08-15 08:00:00,21.3,0.9,270,83,1001.2,1.0,,,,0.0
2021-08-15 09:00:00,23.4,0.9,320,74,1001.2,1.0,,,,0.0
2021-08-15 10:00:00,25.7,1.7,110,64,1001.6,1.0,,,,0.0
2021-08-15 11:00:00,26.9,2.7,110,63,1001.4,1.0,,,,0.0
2021-08-15 12:00:00,28.1,2.1,90,57,1000.9,1.0,,,,0.0
2021-08-15 13:00:00,28.3,1.1,90,56,1000.7,1.0,,,,5.0
2021-08-15 14:00:00,28.8,1.1,250,53,1000.4,1.0,,,,7.0
2021-08-15 15:00:00,28.7,1.3,70,57,1000.2,0.6,,,,6.0
2021-08-15 16:00:00,28.3,1.5,110,61,1000.1,0.5,,,,6.0
