ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),°­¼ö·®(mm),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),ÇöÁö±â¾Ð(hPa),ÀÏÁ¶(hr),ÀÏ»ç(MJ/m2),Àû¼³(cm),Àü¿î·®(10ºÐÀ§)
189,¼­±ÍÆ÷,2022-01-01 18:00,8.2,,1.2,50,66,1021.1,0,,,8
189,¼­±ÍÆ÷,2022-01-01 19:00,7.7,,1.1,50,62,1021.6,,,,10
189,¼­±ÍÆ÷,2022-01-01 20:00,7.8,,1.1,20,68,1021.1,,,,8
189,¼­±ÍÆ÷,2022-01-01 21:00,7.3,,1.2,20,68,1021.2,,,,9
189,¼­±ÍÆ÷,2022-01-01 22:00,7,,1,360,71,1021.1,,,,8
189,¼­±ÍÆ÷,2022-01-01 23:00,6.5,,1.2,360,80,1020.9,,,,8
189,¼­±ÍÆ÷,2022-01-02 00:00,6.2,,.6,340,81,1020.6,,,,5
189,¼­±ÍÆ÷,2022-01-02 01:00,5.6,,1.4,360,83,1020.3,,,,7
189,¼­±ÍÆ÷,2022-01-02 02:00,5,,1.5,360,84,1020.1,,,,8
189,¼­±ÍÆ÷,2022-01-02 03:00,5,,1.9,360,80,1020.1,,,,6
189,¼­±ÍÆ÷,2022-01-02 04:00,4.9,,1.3,20,82,1019.3,,,,2
189,¼­±ÍÆ÷,2022-01-02 05:00,4.9,,.7,360,84,1019.2,,,,3
189,¼­±ÍÆ÷,2022-01-02 06:00,4.8,,1.3,360,85,1019.8,,,,2
189,¼­±ÍÆ÷,2022-01-02 07:00,4.4,,1.6,360,86,1020.2,,,,0
189,¼­±ÍÆ÷,2022-01-02 08:00,4.4,,1.6,360,84,1020.8,0,,,0
189,¼­±ÍÆ÷,2022-01-02 09:00,6.6,,1.7,360,78,1021,.9,,,0
189,¼­±ÍÆ÷,2022-01-02 10:00,9.6,,.6,160,65,1021.3,1,,,1
189,¼­±ÍÆ÷,2022-01-02 11:00,10.6,,.8,110,61,1021.2,1,,,1
189,¼­±ÍÆ÷,2022-01-02 12:00,12.5,,2.3,250,50,1019.9,1,,,2
189,¼­±ÍÆ÷,2022-01-02 13:00,12.6,,3,320,46,1019.5,1,,,3
189,¼­±ÍÆ÷,2022-01-02 14:00,12.2,,3.2,270,50,1018.7,1,,,3
189,¼­±ÍÆ÷,2022-01-02 15:00,11.4,,2.5,270,50,1018.2,.9,,,2
189,¼­±ÍÆ÷,2022-01-02 16:00,11.5,,2.5,250,51,1018,.8,,,1
189,¼­±ÍÆ÷,2022-01-02 17:00,11.2,,.9,90,55,1018.4,1,,,1
189,¼­±ÍÆ÷,2022-01-02 18:00,10.3,,1.5,180,60,1019,.2,,,1
189,¼­±ÍÆ÷,2022-01-02 19:00,8.6,,.3,0,63,1019.5,,,,0
189,¼­±ÍÆ÷,2022-01-02 20:00,7.5,,1.5,360,67,1019.6,,,,0
189,¼­±ÍÆ÷,2022-01-02 21:00,6.7,,1.3,20,72,1019.7,,,,0
189,¼­±ÍÆ÷,2022-01-02 22:00,6.4,,1.4,360,75,1019.8,,,,1
189,¼­±ÍÆ÷,2022-01-02 23:00,6.5,,1.6,360,76,1019.8,,,,4
189,¼­±ÍÆ÷,2022-01-03 00:00,6.2,,1.6,360,77,1019.8,,,,6
189,¼­±ÍÆ÷,2022-01-03 01:00,6.5,,1.2,360,78,1019.5,,,,8
189,¼­±ÍÆ÷,2022-01-03 02:00,7.2,,1,360,78,1019.4,,,,8
189,¼­±ÍÆ÷,2022-01-03 03:00,7.4,,.7,340,79,1019.7,,,,7
189,¼­±ÍÆ÷,2022-01-03 04:00,7.4,,.4,0,77,1019.1,,,,7
189,¼­±ÍÆ÷,2022-01-03 05:00,8.3,,.9,230,72,1019.1,,,,7
189,¼­±ÍÆ÷,2022-01-03 06:00,7.6,,1,20,76,1019.3,,,,7
189,¼­±ÍÆ÷,2022-01-03 07:00,6.7,,1.7,360,81,1019.1,,,,5
189,¼­±ÍÆ÷,2022-01-03 08:00,6.2,,1.6,360,82,1019.5,0,,,4
189,¼­±ÍÆ÷,2022-01-03 09:00,7.3,,1.1,360,78,1019.8,.5,,,3
189,¼­±ÍÆ÷,2022-01-03 10:00,10.3,,1.3,140,65,1020.1,.7,,,6
189,¼­±ÍÆ÷,2022-01-03 11:00,11,,1.5,160,70,1019.8,.9,,,4
189,¼­±ÍÆ÷,2022-01-03 12:00,11.3,,1.9,180,71,1018.7,1,,,3
189,¼­±ÍÆ÷,2022-01-03 13:00,11.6,,1.7,160,69,1017.7,1,,,3
189,¼­±ÍÆ÷,2022-01-03 14:00,12,,2.3,180,58,1016.9,1,,,3
189,¼­±ÍÆ÷,2022-01-03 15:00,12.2,,1.6,200,53,1016.9,1,,,2
189,¼­±ÍÆ÷,2022-01-03 16:00,11.7,,1.7,180,49,1016.9,1,,,1
189,¼­±ÍÆ÷,2022-01-03 17:00,10.9,,1.1,180,46,1017,1,,,1
189,¼­±ÍÆ÷,2022-01-03 18:00,9.6,,1.7,50,55,1017.3,.3,,,0
189,¼­±ÍÆ÷,2022-01-03 19:00,8.4,,.9,20,66,1018.2,,,,0
189,¼­±ÍÆ÷,2022-01-03 20:00,7.5,,1.1,360,70,1018.6,,,,0
189,¼­±ÍÆ÷,2022-01-03 21:00,6.9,,1.2,360,72,1018.7,,,,0
189,¼­±ÍÆ÷,2022-01-03 22:00,6,,1.6,20,74,1018.6,,,,0
189,¼­±ÍÆ÷,2022-01-03 23:00,5.8,,1.4,20,77,1018.9,,,,0
189,¼­±ÍÆ÷,2022-01-04 00:00,5.4,,2.1,20,82,1018.9,,,,0
189,¼­±ÍÆ÷,2022-01-04 01:00,5.5,,1.4,360,80,1018.8,,,,0
189,¼­±ÍÆ÷,2022-01-04 02:00,5.1,,1.7,360,77,1019.5,,,,0
189,¼­±ÍÆ÷,2022-01-04 03:00,4.7,,1.8,360,77,1019.6,,,,0
189,¼­±ÍÆ÷,2022-01-04 04:00,4.7,,2.1,360,77,1019.2,,,,0
189,¼­±ÍÆ÷,2022-01-04 05:00,4.7,,1.8,360,78,1019.4,,,,4
189,¼­±ÍÆ÷,2022-01-04 06:00,4.8,,1.6,360,79,1020,,,,2
189,¼­±ÍÆ÷,2022-01-04 07:00,4.8,,1.6,360,83,1020.3,,,,2
189,¼­±ÍÆ÷,2022-01-04 08:00,5.7,,1.3,360,81,1020.4,0,,,6
189,¼­±ÍÆ÷,2022-01-04 09:00,6.9,,.6,360,74,1020.8,.3,,,8
189,¼­±ÍÆ÷,2022-01-04 10:00,9.7,,1.7,50,66,1020.6,1,,,3
189,¼­±ÍÆ÷,2022-01-04 11:00,11,,1.2,160,60,1020.4,1,,,6
189,¼­±ÍÆ÷,2022-01-04 12:00,11.5,,1.8,180,61,1019.8,.9,,,6
189,¼­±ÍÆ÷,2022-01-04 13:00,11.6,,2.5,180,62,1019.2,1,,,6
189,¼­±ÍÆ÷,2022-01-04 14:00,11.9,,2,180,55,1018.9,1,,,6
189,¼­±ÍÆ÷,2022-01-04 15:00,11.8,,1.2,160,56,1018.6,1,,,6
189,¼­±ÍÆ÷,2022-01-04 16:00,11.2,,1.4,160,64,1018.1,1,,,4
189,¼­±ÍÆ÷,2022-01-04 17:00,9.8,,.8,90,64,1018.6,1,,,3
189,¼­±ÍÆ÷,2022-01-04 18:00,9,,.5,200,70,1018.9,.1,,,6
189,¼­±ÍÆ÷,2022-01-04 19:00,8.5,,.6,360,73,1019.4,,,,8
189,¼­±ÍÆ÷,2022-01-04 20:00,8.4,,.6,290,75,1019.9,,,,9
189,¼­±ÍÆ÷,2022-01-04 21:00,8.9,,.7,360,74,1019.8,,,,9
189,¼­±ÍÆ÷,2022-01-04 22:00,9,,.6,20,76,1019.6,,,,9
189,¼­±ÍÆ÷,2022-01-04 23:00,9.2,,1,360,75,1019.4,,,,9
189,¼­±ÍÆ÷,2022-01-05 00:00,8.8,,.7,360,76,1019.2,,,,9
189,¼­±ÍÆ÷,2022-01-05 01:00,8.8,,1.1,360,76,1018.6,,,,10
189,¼­±ÍÆ÷,2022-01-05 02:00,8.8,,.4,0,75,1018.3,,,,5
189,¼­±ÍÆ÷,2022-01-05 03:00,9,,.3,0,75,1018,,,,10
189,¼­±ÍÆ÷,2022-01-05 04:00,8.9,,.4,0,73,1018.1,,,,10
189,¼­±ÍÆ÷,2022-01-05 05:00,8.9,,.6,20,75,1017.5,,,,10
189,¼­±ÍÆ÷,2022-01-05 06:00,9,,.8,360,76,1017.6,,,,10
189,¼­±ÍÆ÷,2022-01-05 07:00,7.4,,3.3,20,75,1018.4,,,,10
189,¼­±ÍÆ÷,2022-01-05 08:00,7.2,,.9,20,83,1018.6,0,,,10
189,¼­±ÍÆ÷,2022-01-05 09:00,6.5,.8,.8,20,92,1018.8,0,,,10
189,¼­±ÍÆ÷,2022-01-05 10:00,6.5,,1.2,20,93,1019,0,,,10
189,¼­±ÍÆ÷,2022-01-05 11:00,6.9,,1.8,50,88,1018.6,0,,,10
189,¼­±ÍÆ÷,2022-01-05 12:00,6.4,2.8,2.2,50,90,1017.9,0,,,10
189,¼­±ÍÆ÷,2022-01-05 13:00,6.3,,2,20,88,1017,0,,,10
189,¼­±ÍÆ÷,2022-01-05 14:00,6,,2.2,20,92,1015.7,0,,,10
189,¼­±ÍÆ÷,2022-01-05 15:00,6.1,2.1,1.9,20,91,1015.4,0,,,10
189,¼­±ÍÆ÷,2022-01-05 16:00,6.2,,1.4,50,96,1015.5,0,,,10
189,¼­±ÍÆ÷,2022-01-05 17:00,5.9,,2.1,50,93,1016.1,0,,,10
189,¼­±ÍÆ÷,2022-01-05 18:00,5.2,8,1.5,70,97,1016.9,0,,,10
189,¼­±ÍÆ÷,2022-01-05 19:00,5.3,,1.1,50,99,1017.5,,,,10
189,¼­±ÍÆ÷,2022-01-05 20:00,5.6,,1.1,50,98,1017.5,,,,10
189,¼­±ÍÆ÷,2022-01-05 21:00,5.7,7,.2,0,99,1018,,,,10
189,¼­±ÍÆ÷,2022-01-05 22:00,6.1,,.4,0,99,1017.7,,,,10
189,¼­±ÍÆ÷,2022-01-05 23:00,6,,.9,20,99,1016.9,,,,10
189,¼­±ÍÆ÷,2022-01-06 00:00,6,.9,1.1,360,97,1016.1,,,,9
189,¼­±ÍÆ÷,2022-01-06 01:00,6.7,,1.5,50,94,1016,,,,8
189,¼­±ÍÆ÷,2022-01-06 02:00,6.7,,1.4,20,93,1016.1,,,,7
189,¼­±ÍÆ÷,2022-01-06 03:00,6.7,,1,20,93,1016.5,,,,4
189,¼­±ÍÆ÷,2022-01-06 04:00,6.1,,1.5,20,97,1016.9,,,,9
189,¼­±ÍÆ÷,2022-01-06 05:00,7.2,,1.7,20,82,1016.8,,,,9
189,¼­±ÍÆ÷,2022-01-06 06:00,7.7,,.9,290,91,1017.2,,,,9
189,¼­±ÍÆ÷,2022-01-06 07:00,7.4,,.9,360,92,1017.9,,,,8
189,¼­±ÍÆ÷,2022-01-06 08:00,7.5,,1,20,88,1018.2,0,,,4
189,¼­±ÍÆ÷,2022-01-06 09:00,7.6,,1.4,20,87,1018.8,.7,,,1
189,¼­±ÍÆ÷,2022-01-06 10:00,10.2,,.7,250,73,1019.7,1,,,3
189,¼­±ÍÆ÷,2022-01-06 11:00,11.2,,2.2,200,64,1019.9,1,,,1
189,¼­±ÍÆ÷,2022-01-06 12:00,11.8,,2.3,180,64,1019.2,1,,,1
189,¼­±ÍÆ÷,2022-01-06 13:00,11.2,,1.9,180,56,1018.4,1,,,0
189,¼­±ÍÆ÷,2022-01-06 14:00,11.8,,2.4,180,54,1018.1,1,,,0
189,¼­±ÍÆ÷,2022-01-06 15:00,11.9,,2,180,42,1018.2,1,,,0
189,¼­±ÍÆ÷,2022-01-06 16:00,11.7,,2.1,200,50,1018.3,1,,,1
189,¼­±ÍÆ÷,2022-01-06 17:00,10.7,,1,180,48,1018.7,1,,,6
189,¼­±ÍÆ÷,2022-01-06 18:00,9.3,,1.2,200,57,1019.2,.3,,,4
189,¼­±ÍÆ÷,2022-01-06 19:00,8.1,,1,360,65,1019.5,,,,7
189,¼­±ÍÆ÷,2022-01-06 20:00,8.1,,1.4,20,62,1020.3,,,,9
189,¼­±ÍÆ÷,2022-01-06 21:00,7.3,,1.4,360,66,1020.4,,,,3
189,¼­±ÍÆ÷,2022-01-06 22:00,7,,1.2,360,57,1020.2,,,,0
189,¼­±ÍÆ÷,2022-01-06 23:00,6.2,,1.7,360,52,1020,,,,1
189,¼­±ÍÆ÷,2022-01-07 00:00,6.2,,1.2,320,60,1020.2,,,,0
189,¼­±ÍÆ÷,2022-01-07 01:00,5.2,,1.9,20,57,1020.7,,,,0
189,¼­±ÍÆ÷,2022-01-07 02:00,5.6,,1.6,360,55,1021.3,,,,0
189,¼­±ÍÆ÷,2022-01-07 03:00,5.2,,1.7,360,57,1021.6,,,,0
189,¼­±ÍÆ÷,2022-01-07 04:00,4.6,,1.6,20,57,1021.7,,,,0
189,¼­±ÍÆ÷,2022-01-07 05:00,4.2,,1.4,360,59,1021.9,,,,0
189,¼­±ÍÆ÷,2022-01-07 06:00,4.3,,.8,360,59,1022.4,,,,0
189,¼­±ÍÆ÷,2022-01-07 07:00,4.6,,1.4,360,61,1022.7,,,,0
189,¼­±ÍÆ÷,2022-01-07 08:00,3.9,,1.7,360,62,1022.8,0,,,2
189,¼­±ÍÆ÷,2022-01-07 09:00,5.4,,.7,360,61,1023.1,.8,,,1
189,¼­±ÍÆ÷,2022-01-07 10:00,9.5,,.9,250,55,1023.4,1,,,2
189,¼­±ÍÆ÷,2022-01-07 11:00,10.3,,1.4,230,57,1022.9,1,,,4
189,¼­±ÍÆ÷,2022-01-07 12:00,10.9,,2.1,230,58,1022.2,1,,,5
189,¼­±ÍÆ÷,2022-01-07 13:00,11.1,,2.9,200,62,1021.4,1,,,7
189,¼­±ÍÆ÷,2022-01-07 14:00,10.6,,1.9,230,61,1020.9,1,,,8
189,¼­±ÍÆ÷,2022-01-07 15:00,10.7,,2,200,57,1020.5,1,,,8
189,¼­±ÍÆ÷,2022-01-07 16:00,10.4,,1.6,230,53,1020.3,1,,,8
189,¼­±ÍÆ÷,2022-01-07 17:00,9.7,,.6,270,49,1020.6,.4,,,8
189,¼­±ÍÆ÷,2022-01-07 18:00,8.8,,.1,0,51,1020.8,0,,,5
189,¼­±ÍÆ÷,2022-01-07 19:00,7.5,,1.3,360,62,1020.9,,,,5
189,¼­±ÍÆ÷,2022-01-07 20:00,6.6,,1.7,20,68,1021.1,,,,0
189,¼­±ÍÆ÷,2022-01-07 21:00,6.2,,1.4,20,67,1021,,,,6
189,¼­±ÍÆ÷,2022-01-07 22:00,6.3,,1.6,360,67,1020.9,,,,7
189,¼­±ÍÆ÷,2022-01-07 23:00,5.9,,1.7,360,70,1020.5,,,,6
189,¼­±ÍÆ÷,2022-01-08 00:00,5.8,,1.5,360,70,1020.1,,,,0
189,¼­±ÍÆ÷,2022-01-08 01:00,5.8,,1.6,360,73,1019.5,,,,0
189,¼­±ÍÆ÷,2022-01-08 02:00,6.4,,1.8,360,76,1019.3,,,,0
189,¼­±ÍÆ÷,2022-01-08 03:00,6.4,,1.8,360,78,1019.4,,,,4
189,¼­±ÍÆ÷,2022-01-08 04:00,6.1,,1.8,360,79,1018.6,,,,7
189,¼­±ÍÆ÷,2022-01-08 05:00,5.2,,1.6,360,83,1018.1,,,,4
189,¼­±ÍÆ÷,2022-01-08 06:00,5.7,,1.6,20,84,1018.2,,,,6
189,¼­±ÍÆ÷,2022-01-08 07:00,5.9,,2,20,83,1018.1,,,,4
189,¼­±ÍÆ÷,2022-01-08 08:00,5.9,,1.4,20,81,1018.4,0,,,0
189,¼­±ÍÆ÷,2022-01-08 09:00,7.1,,.3,0,74,1018.5,.8,,,1
189,¼­±ÍÆ÷,2022-01-08 10:00,8.2,,.8,200,70,1018.8,.7,,,7
189,¼­±ÍÆ÷,2022-01-08 11:00,9.5,,1.3,160,64,1018.6,.3,,,8
189,¼­±ÍÆ÷,2022-01-08 12:00,9.3,,1.1,180,65,1018,.1,,,8
189,¼­±ÍÆ÷,2022-01-08 13:00,9.7,,1.1,160,65,1016.9,.3,,,5
189,¼­±ÍÆ÷,2022-01-08 14:00,10.7,,2,180,62,1016.1,1,,,3
189,¼­±ÍÆ÷,2022-01-08 15:00,10.5,,1.6,160,63,1015.8,1,,,2
189,¼­±ÍÆ÷,2022-01-08 16:00,10.4,,1,140,65,1015.7,.9,,,4
189,¼­±ÍÆ÷,2022-01-08 17:00,9.9,,.5,140,68,1015.9,.8,,,1
189,¼­±ÍÆ÷,2022-01-08 18:00,8.7,,.7,50,71,1016.4,0,,,3
189,¼­±ÍÆ÷,2022-01-08 19:00,8.2,,.9,20,75,1016.6,,,,
189,¼­±ÍÆ÷,2022-01-08 20:00,7.3,,1.2,20,78,1016.8,,,,8
189,¼­±ÍÆ÷,2022-01-08 21:00,7.1,,1.2,360,79,1017.1,,,,7
189,¼­±ÍÆ÷,2022-01-08 22:00,6.6,,1.5,20,83,1017,,,,5
189,¼­±ÍÆ÷,2022-01-08 23:00,6.3,,1.6,20,85,1017,,,,10
189,¼­±ÍÆ÷,2022-01-09 00:00,6.3,,2,20,84,1016.4,,,,4
189,¼­±ÍÆ÷,2022-01-09 01:00,6.5,,1.9,360,85,1015.9,,,,4
189,¼­±ÍÆ÷,2022-01-09 02:00,6.6,,1.3,360,85,1016.1,,,,8
189,¼­±ÍÆ÷,2022-01-09 03:00,6.6,,1.3,360,86,1015.9,,,,8
189,¼­±ÍÆ÷,2022-01-09 04:00,7,,1.4,360,82,1015.2,,,,8
189,¼­±ÍÆ÷,2022-01-09 05:00,6.5,,1.8,360,77,1014.8,,,,5
189,¼­±ÍÆ÷,2022-01-09 06:00,6.1,,1.4,360,76,1015.1,,,,8
189,¼­±ÍÆ÷,2022-01-09 07:00,6.2,,1.5,360,75,1015.6,,,,8
189,¼­±ÍÆ÷,2022-01-09 08:00,6,,1.5,360,77,1015.7,0,,,8
189,¼­±ÍÆ÷,2022-01-09 09:00,6.7,,1.5,20,75,1015.8,0,,,5
189,¼­±ÍÆ÷,2022-01-09 10:00,9.9,,.6,20,63,1016.1,.9,,,4
189,¼­±ÍÆ÷,2022-01-09 11:00,11.1,,1,200,58,1016.1,1,,,7
189,¼­±ÍÆ÷,2022-01-09 12:00,10.7,,1.7,180,52,1015.1,0,,,9
189,¼­±ÍÆ÷,2022-01-09 13:00,11,,1.7,180,53,1014.1,0,,,10
189,¼­±ÍÆ÷,2022-01-09 14:00,11.1,,1.3,180,55,1013.3,.2,,,10
189,¼­±ÍÆ÷,2022-01-09 15:00,11.7,,1,160,55,1013.2,.5,,,7
189,¼­±ÍÆ÷,2022-01-09 16:00,11.2,,1.5,160,63,1013.1,1,,,3
189,¼­±ÍÆ÷,2022-01-09 17:00,10.7,,.9,200,67,1013.2,.8,,,4
189,¼­±ÍÆ÷,2022-01-09 18:00,9.8,,1.4,50,65,1013.7,0,,,2
189,¼­±ÍÆ÷,2022-01-09 19:00,8.5,,1.4,360,72,1014.4,,,,4
189,¼­±ÍÆ÷,2022-01-09 20:00,7.9,,1.4,360,74,1014.7,,,,7
189,¼­±ÍÆ÷,2022-01-09 21:00,7.8,,1.2,360,73,1014.8,,,,6
189,¼­±ÍÆ÷,2022-01-09 22:00,6.8,,1.6,20,76,1015,,,,1
189,¼­±ÍÆ÷,2022-01-09 23:00,6.5,,1.5,360,77,1014.9,,,,0
189,¼­±ÍÆ÷,2022-01-10 00:00,6.6,,1.6,360,76,1014.9,,,,3
189,¼­±ÍÆ÷,2022-01-10 01:00,6.1,,1.5,360,77,1014.7,,,,0
189,¼­±ÍÆ÷,2022-01-10 02:00,5.8,,1.7,360,77,1014.7,,,,2
189,¼­±ÍÆ÷,2022-01-10 03:00,5.6,,1.8,360,79,1014.7,,,,3
189,¼­±ÍÆ÷,2022-01-10 04:00,5.2,,1.6,360,82,1014.2,,,,3
189,¼­±ÍÆ÷,2022-01-10 05:00,5.6,,1.5,340,81,1014.2,,,,7
189,¼­±ÍÆ÷,2022-01-10 06:00,5.8,,1.7,360,84,1014.4,,,,8
189,¼­±ÍÆ÷,2022-01-10 07:00,6.8,,1,340,82,1015,,,,7
189,¼­±ÍÆ÷,2022-01-10 08:00,6.9,,1.6,360,85,1014.9,0,,,8
189,¼­±ÍÆ÷,2022-01-10 09:00,7.3,,1.3,20,85,1015.2,.2,,,5
189,¼­±ÍÆ÷,2022-01-10 10:00,9.4,,1.1,50,78,1015.4,1,,,7
189,¼­±ÍÆ÷,2022-01-10 11:00,10.2,,.7,70,77,1015,.4,,,9
189,¼­±ÍÆ÷,2022-01-10 12:00,11.2,,1.5,140,72,1013.9,.7,,,7
189,¼­±ÍÆ÷,2022-01-10 13:00,11.7,,2.1,180,71,1013.2,1,,,8
189,¼­±ÍÆ÷,2022-01-10 14:00,11.5,,2.2,180,69,1012.3,1,,,6
189,¼­±ÍÆ÷,2022-01-10 15:00,11.6,,2.3,180,61,1011.9,1,,,7
189,¼­±ÍÆ÷,2022-01-10 16:00,11.3,,1.2,180,66,1011.3,.8,,,8
189,¼­±ÍÆ÷,2022-01-10 17:00,10,,1.9,230,68,1011.1,.4,,,8
189,¼­±ÍÆ÷,2022-01-10 18:00,9.3,,.5,70,70,1011.1,0,,,7
189,¼­±ÍÆ÷,2022-01-10 19:00,8.6,,.9,360,76,1011.4,,,,8
189,¼­±ÍÆ÷,2022-01-10 20:00,8.3,,.2,0,76,1011,,,,9
189,¼­±ÍÆ÷,2022-01-10 21:00,7.5,,.4,0,78,1011.1,,,,5
189,¼­±ÍÆ÷,2022-01-10 22:00,7.6,,.6,320,76,1011,,,,9
189,¼­±ÍÆ÷,2022-01-10 23:00,7.9,,.7,110,74,1010.1,,,,10
189,¼­±ÍÆ÷,2022-01-11 00:00,7.8,,.8,320,71,1009.9,,,,10
189,¼­±ÍÆ÷,2022-01-11 01:00,7.3,,3.1,270,61,1009.1,,,,10
189,¼­±ÍÆ÷,2022-01-11 02:00,6.7,,1.6,270,68,1009.5,,,,10
189,¼­±ÍÆ÷,2022-01-11 03:00,6.3,,3.4,270,72,1009.7,,,,10
189,¼­±ÍÆ÷,2022-01-11 04:00,6.2,,2,250,72,1009.2,,,,10
189,¼­±ÍÆ÷,2022-01-11 05:00,6.1,,1.2,290,71,1008.9,,,,4
189,¼­±ÍÆ÷,2022-01-11 06:00,6.2,,1.6,340,69,1009.6,,,,3
189,¼­±ÍÆ÷,2022-01-11 07:00,5.2,,2.6,320,70,1010.8,,,,3
189,¼­±ÍÆ÷,2022-01-11 08:00,4.5,,2.4,320,69,1011.5,0,,,10
189,¼­±ÍÆ÷,2022-01-11 09:00,3.1,0,2.1,270,76,1012.7,.2,,,10
189,¼­±ÍÆ÷,2022-01-11 10:00,2.2,,2.1,320,85,1013.5,.7,,,10
189,¼­±ÍÆ÷,2022-01-11 11:00,3.3,,2.3,290,71,1014.1,.6,,,10
189,¼­±ÍÆ÷,2022-01-11 12:00,3.9,.2,2.1,270,62,1013.6,.8,,,10
189,¼­±ÍÆ÷,2022-01-11 13:00,4.7,,1.8,290,52,1013.4,.9,,,10
189,¼­±ÍÆ÷,2022-01-11 14:00,2.7,,2.1,320,66,1013.6,.7,,,10
189,¼­±ÍÆ÷,2022-01-11 15:00,3.5,0,2.5,340,58,1013.5,.6,,,10
189,¼­±ÍÆ÷,2022-01-11 16:00,3.4,,1.7,320,55,1013.8,.5,,,10
189,¼­±ÍÆ÷,2022-01-11 17:00,2.4,,3.6,270,57,1014.5,.1,,,10
189,¼­±ÍÆ÷,2022-01-11 18:00,2,0,2,290,64,1015,0,,,10
189,¼­±ÍÆ÷,2022-01-11 19:00,1.7,,2.7,270,57,1015.3,,,,10
189,¼­±ÍÆ÷,2022-01-11 20:00,1.3,,2.4,270,75,1015.7,,,,8
189,¼­±ÍÆ÷,2022-01-11 21:00,1.9,0,1.1,290,62,1015.8,,,,8
189,¼­±ÍÆ÷,2022-01-11 22:00,2.1,,.8,340,61,1016.2,,,,6
189,¼­±ÍÆ÷,2022-01-11 23:00,2,,.8,270,60,1015.9,,,,6
189,¼­±ÍÆ÷,2022-01-12 00:00,1.6,0,2.2,230,68,1015.3,,,,5
189,¼­±ÍÆ÷,2022-01-12 01:00,1.9,,.8,230,67,1015.3,,,,9
189,¼­±ÍÆ÷,2022-01-12 02:00,1.9,,1,50,65,1015.4,,,,7
189,¼­±ÍÆ÷,2022-01-12 03:00,1.9,,1.9,50,63,1015.6,,,,7
189,¼­±ÍÆ÷,2022-01-12 04:00,1.8,,.5,50,65,1015.5,,,,7
189,¼­±ÍÆ÷,2022-01-12 05:00,2,,1.3,250,64,1015.4,,,,5
189,¼­±ÍÆ÷,2022-01-12 06:00,2.1,,1.7,270,67,1015.8,,,,4
189,¼­±ÍÆ÷,2022-01-12 07:00,2,,1.5,20,66,1015.6,,,,4
189,¼­±ÍÆ÷,2022-01-12 08:00,2.1,,1.9,230,71,1015.6,0,,,6
189,¼­±ÍÆ÷,2022-01-12 09:00,3.1,,1.1,20,67,1016,.3,,,7
189,¼­±ÍÆ÷,2022-01-12 10:00,3.9,,1.2,230,60,1016.3,.4,,,8
189,¼­±ÍÆ÷,2022-01-12 11:00,5.8,,1.2,70,56,1016.2,1,,,6
189,¼­±ÍÆ÷,2022-01-12 12:00,5.8,,2.4,180,57,1015.8,1,,,9
189,¼­±ÍÆ÷,2022-01-12 13:00,6.8,,1.5,340,50,1014.2,.8,,,4
